Author,ItemPrice,Name,Rate,Reviwers,First Edition year,Number of pages
Serkan Karaisma...,34.30,Arachnoid Mater,3.5,19,2020,488
Tristan Gooley,23.40,Doğanın İşaretlerini Okumanın Kaybolmuş Sanatı,4,26,2018,null
Sinan Canan,21.00,İFA:İnsanın Fabrika Ayarları 1.Kitap-Beden,3.5,14,2019,null
Stephen Hawking,20.30,Zamanın Kısa Tarihi,4,125,2017,null
Serkan Karaisma...,25.20,Beyinde Ararken Bağırsakta Buldum,3.5,57,2017,null
Sinan Canan,21.00,İFA: İnsanın Fabrika Ayarları 2. Kitap-İlişkiler ve Stres,3,4,2020,192
Cem Say,16.06,Yeni Dünya Yeni Ağ,0,0,2020,208
David Eagleman,23.40,Incognito - Beynin Gizli Hayatı,4,135,2013,294
Ed Yong,23.40,Mikrobiyota,4,25,2018,null
Charles Darwin,28.00,Türlerin Kökeni,4,31,2017,null
Nathan H. Lents,24.46,İnsanın Kusurları,0,0,2020,248
Stephen Hawking,16.80,Büyük Sorulara Kısa Yanıtlar,4.5,43,2018,null
Richard Dawkins,29.64,Tanrı Yanılgısı,4,202,2007,null
Sinan Canan,27.00,Kimsenin Bilemeyeceği Şeyler,3.5,39,2015,null
Mark Miodownik,20.80,Eşyanın Tabiatı,3.5,11,2019,null
Katie Daynes,6.16,Denizdeki 1001 Şeyi Bulun,4.5,8,2000,null
Ece Balkuv,16.25,Beyniniz Hayatınızı Nasıl Şekillendirir?,5,2,2020,232
Richard Dawkins,26.60,Gen Bencildir,4.5,29,2014,null
Ray Kurzweil,39.20,İnsanlık 2.0,3.5,30,2016,null
Anna Milbourne,6.16,Ay'da,3.5,4,2011,null
Stephen Hawking,10.65,Kara Delikler,4.5,38,2017,null
Stefano Mancuso,14.88,Bitki Zekası,4.5,11,2017,null
Kolektif,87.10,David Eagleman Seti-4 Kitap Takım,4,16,2019,null
Nihat Tekdemir,50.69,Persler Anadolu'da Kudret ve Görkem,4,3,null,null
Peter Wohlleben,19.84,Hayvanların Gizli Yaşamı,5,1,2020,213
Sinan Canan,27.00,Unutulacak Şeyler,3,12,2016,null
Marianne Taylor,18.20,Doğa Kitabı: Bitkiler-Hayvanlar ve Gezegenimiz,4,2,2019,null
Wolfgang Schive...,23.12,Keyif Verici Maddelerin Tarihi,4,3,2019,null
Carolyn Collins...,20.39,Evren 101,4,5,2016,null
Kevin Langford,20.39,Anatomi 101-Bir Çırpıda İnsan Vücud,3.5,6,2018,null
Richard P. Feynman,23.43,Eminim Şaka Yapıyorsunuz Bay Feynman - Meraklı Bir Şahsiy...,4.5,20,2013,null
Kolektif,6.16,İlk Okuma Çöp ve Geri Dönüşüm,0,0,2007,null
Marcus Chown,16.33,Biraz Kuantum'dan Zarar Gelmez,4.5,5,2009,240
David Eagleman,27.30,Yaratıcı Tür-Fikirler Dünyayı Nasıl Yeniden Yaratıyor,4,19,2019,null
Jan Paul Schutten,57.00,Yaşamın Gizemi,0,0,2020,160
Çağrı Mert Bakırcı,22.80,Evrim Kuramı ve Mekanizmaları,4,10,2018,null
